match_id,source_file,ball_index,innings_index,batting_team,over,ball_in_over,ball_number,event_token,token_runs,token_type,bowler,batsman,result_raw,is_wicket,commentary
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,1,1,SL,0,1,0.1,•,0,dot,Khan,Upul Tharanga,no run,false,
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,2,1,SL,0,2,0.2,•,0,dot,Khan,Upul Tharanga,no run,false,"this one is a little outside off, on a good length, Tharanga pokes at it from his crease and is beaten"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,3,1,SL,0,3,0.3,•,0,dot,Khan,Upul Tharanga,no run,false,"good length around off stump once again, Tharanga defends on the leg side after moving a touch across"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,4,1,SL,0,4,0.4,•,0,dot,Khan,Upul Tharanga,no run,false,"the length is slightly shorter but still good outside off stump, Tharanga lets it go through to Dhoni
Zaheer pauses a bit before running in ..."
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,5,1,SL,0,5,0.5,1b,1,b,Khan,Upul Tharanga,1 bye,false,"he produces another good length ball outside off which Tharanga shoulders arms to, the ball swings towards Dhoni's right and he fumbles the take, allowing Sri Lanka to get going
Slip and a gully for Dilshan. Square leg and fine leg on the boundary."
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,6,1,SL,0,6,0.6,1lb,1,lb,Khan,Dilshan,1 leg bye,false,pitches on a good length outside leg and hits the pad after Dilshan misses the glance
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,7,1,SL,1,1,1.1,•,0,dot,Sreesanth,Dilshan,no run,false,"huge appeal for lbw first up, Aleem Dar says not out. That ball pitched on a length around leg stump. Dilshan went to smash it on the leg side and missed. That would have missed leg"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,8,1,SL,1,2,1.2,2nb,2,nb,Sreesanth,Dilshan,(no ball) 1 run,false,"Dilshan gets tucked up by a length ball and plays on the leg side, Sreesanth had over-stepped and there's a free hit coming up ... India didn't concede an extra until very late in the innings against Pakistan. They've already conceded three today"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,9,1,SL,1,2,1.2,1,1,run,Sreesanth,Upul Tharanga,1 run,false,"the free-hit is a well-directed delivery nearly in the blockhole, Tharanga digs it out on the on side and has broken the bat in his process, it will need changing"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,10,1,SL,1,3,1.3,•,0,dot,Sreesanth,Dilshan,no run,false,"good length just outside off stump, punched from the crease towards cover point"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,11,1,SL,1,4,1.4,2,2,run,Sreesanth,Dilshan,2 runs,false,Dilshan drives the length ball hard off the back foot towards cover point where Raina dives to his left and takes the pace off the ball
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,12,1,SL,1,5,1.5,•,0,dot,Sreesanth,Dilshan,no run,false,"Sreesanth bowls a full ball on leg stump, Dilshan missed out there, failing to make contact with the flick. The ball hit the pad"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,13,1,SL,1,6,1.6,•,0,dot,Sreesanth,Dilshan,no run,false,"Dilshan goes hard at the ball, trying to cut it through point. He doesn't time it though and hits it hard into the ground"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,14,1,SL,2,1,2.1,•,0,dot,Khan,Upul Tharanga,no run,false,"too full from Zaheer and Tharanga makes superb contact with the front foot drive through cover point, Raina dives to his right and makes a clean save this time"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,15,1,SL,2,2,2.2,•,0,dot,Khan,Upul Tharanga,no run,false,"another superb shot from Tharanga, he is timing it well already. He cuts a length ball from outside off but can't beat Yuvraj at point"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,16,1,SL,2,3,2.3,•,0,dot,Khan,Upul Tharanga,no run,false,"a fuller ball outside off and Tharanga square drives fluently again, Yuvraj is in the way at point"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,17,1,SL,2,4,2.4,•,0,dot,Khan,Upul Tharanga,no run,false,"Zaheer shortens his length a touch outside off and gets the ball to seam away from the left-hander a fraction, Tharanga began to push at it but let it go in the end"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,18,1,SL,2,5,2.5,•,0,dot,Khan,Upul Tharanga,no run,false,wider outside off stump this time but Tharanga lets it go
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,19,1,SL,2,6,2.6,•,0,dot,Khan,Upul Tharanga,no run,false,"a short of a length delivery cramps Tharanga for room as he tries to punch through the off side, Zaheer completes a maiden"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,20,1,SL,3,1,3.1,1,1,run,Sreesanth,Dilshan,1 run,false,Dilshan opens the face and steers the ball towards third man
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,21,1,SL,3,2,3.2,1,1,run,Sreesanth,Upul Tharanga,1 run,false,"that's some pretty sloppy work from India. Sreesanth didn't attempt to stop a mis-timed drive past him, Tendulkar ran towards his left from mid-on and missed the ball, mid off was covering though"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,22,1,SL,3,3,3.3,•,0,dot,Sreesanth,Dilshan,no run,false,played off the front foot towards the off side
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,23,1,SL,3,4,3.4,•,0,dot,Sreesanth,Dilshan,no run,false,"good length just outside off, Dilshan punches off the back foot, the timing is good but the placement is straight to the fielder at cover"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,24,1,SL,3,5,3.5,•,0,dot,Sreesanth,Dilshan,no run,false,"fuller ball pitching on off and shaping away a touch, Dilshan leans into the drive and finds short cover"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,25,1,SL,3,6,3.6,•,0,dot,Sreesanth,Dilshan,no run,false,"Dilshan times a punch from the crease sweetly but the fielder at short cover is in the way again. They've hit the fielders today, not the gaps"
CWC_2011_final_ALL,CWC_2011_final_ALL.txt,26,1,SL,4,1,4.1,•,0,dot,Khan,Upul Tharanga,no run,false,"Tharanga moves forward and drives a length ball from just outside off towards cover, again he doesn't get past the infield"
